Gene	Cluster_00	Cluster_01	Cluster_02	Cluster_03	Cluster_04	Cluster_05	Cluster_06	Cluster_07	Cluster_08	Cluster_09	Cluster_10	Cluster_11	Cluster_12	Cluster_13	Cluster_14	Cluster_15	Cluster_16	Cluster_17	Cluster_18	Cluster_19	Cluster_20	Cluster_21	Cluster_22	Cluster_23	Cluster_24	Cluster_25	Cluster_26	Cluster_27	Cluster_28	Cluster_29	Cluster_30	Cluster_31	Total_Up_Regulated
RP11.268J15.5	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	17
RAP1A	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	0	17
FAM212B	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	17
ANKRD35	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	0	1	0	1	0	17
C1orf56	0	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	17
ZBTB7B	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	17
TMEM81	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	17
CNST	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	17
GNLY	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	17
DBI	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	17
STRADB	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	17
RP11.548H3.1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	1	17
RNPEPL1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	17
RAF1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	17
DPH3	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	17
NGLY1	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	17
SEC22C	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	17
GBE1	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	0	1	0	17
FBXO45	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	17
TBC1D1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	17
MED10	0	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	17
OXCT1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	17
MGAT4B	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	17
RNF130	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	17
MCUR1	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	17
C6orf47	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	0	17
DAAM2	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	17
CYB5R4	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	17
TMEM120A	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	1	0	17
GCC1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	17
TMUB1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	17
C8orf46	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	17
GPT	1	0	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	17
UBAP1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	0	17
TESK1	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	17
FAM206A	0	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	17
TMEM245	0	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	17
HK1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	17
VPS37C	0	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	17
UBXN1	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	17
AP003068.23	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	17
BRMS1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	17
DPP3	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	0	17
