Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TWNK	405.489772593126	-0.000523151697052391	0.000123488483699094	-4.23644117557683	2.27090378496379e-05	0.000363344605594206
LZTS2	405.489772593126	3.67804545809645e-05	6.77242755624469e-05	0.543091148270019	0.58706704688951	0.651738849073601
SFXN3	405.489772593126	-0.000311493161140676	0.000199439809155952	-1.56184044930119	0.118325580172056	0.151456742620232
KAZALD1	405.489772593126	-0.000348563230802162	0.00021379328687218	-1.63037500335807	0.103022264367325	0.235479461411028
LBX1	405.489772593126	-0.00052800752989435	0.00017253990374043	-3.06020531162859	0.00221185308350867	0.00884741233403468
LBX1.AS1	405.489772593126	3.47002474452598e-05	0.00020421330531916	0.169921579747351	0.865071809729902	0.973991858896737
BTRC	405.489772593126	-0.000335385789994632	0.000144882410914388	-2.31488272370629	0.0206193510834998	0.0822361850446556
DPCD	405.489772593126	7.44861077629792e-05	0.00056059083888137	0.132870718885832	0.894295624483625	0.953915332782533
POLL	405.489772593126	2.58837319706875e-05	0.000134900972925547	0.191872092612504	0.847842398130925	0.904365224672987
FBXW4	405.489772593126	-0.000125150880461359	3.357426448386e-05	-3.72758368307733	0.000193324379323698	0.000687375570928704
NPM3	405.489772593126	-0.00218508940219665	0.000608499905401179	-3.59094452242526	0.00032948176966509	0.0105434166292829
MGEA5	405.489772593126	-4.06765342109484e-05	2.0058940728944e-05	-2.02785056103458	0.0425755022251999	0.0592354813567999
KCNIP2	405.489772593126	9.30488031888637e-05	0.00051470948853483	0.180779265316705	0.856540838823049	0.935407825796003
C10orf76	405.489772593126	-0.00043825080548723	8.50150028851463e-05	-5.15498195158917	2.53655359182046e-07	1.6233942987651e-06
HPS6	405.489772593126	-0.00105373848502154	0.000368081741111303	-2.86278390729223	0.0041993685501699	0.0168878894971406
LDB1	405.489772593126	-0.000215361830204718	0.000119545473608425	-1.80150551672196	0.0716232385620764	0.127330201888136
PPRC1	NA	NA	NA	NA	NA	NA
NOLC1	NA	NA	NA	NA	NA	NA
PITX3	405.489772593126	2.9326925590816e-05	0.00021984875215129	0.133395915618545	0.893880275406085	0.92271512299983
GBF1	405.489772593126	-9.42685905850115e-05	3.06784573586818e-05	-3.07279435477658	0.00212064571873209	0.0339303314997135
NFKB2	405.489772593126	-4.5125149600871e-05	6.94924194988548e-05	-0.649353554334292	0.516109877487945	0.611685780726453
FBXL15	405.489772593126	-0.00102793727888927	0.000284637997739306	-3.61138459043945	0.000304566614174527	0.000812177637798737
CUEDC2	405.489772593126	-0.000112029485764629	8.03165173977882e-05	-1.39484989382413	0.163061109525142	0.434829625400379
ACTR1A	405.489772593126	-6.69339622413593e-05	1.38538842651933e-05	-4.83142207341267	1.35561277092921e-06	1.08449021674337e-05
SUFU	NA	NA	NA	NA	NA	NA
TRIM8	405.489772593126	-0.0001112926515344	3.17428423733292e-05	-3.50607076157458	0.000454774298851171	0.00207896822331964
ARL3	405.489772593126	-0.000518447365802707	0.000319542395080732	-1.62246817256196	0.104703142551944	0.139604190069258
WBP1L	405.489772593126	-8.13846722339131e-05	2.1202421795613e-05	-3.83846114460152	0.000123807801153942	0.000565978519560875
BORCS7	405.489772593126	-0.000129309912938582	0.000178810586708133	-0.723166985351103	0.469577299392731	0.730828289651227
