Genes	BaseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GABARAPL1	253.715674058463	-4.83757695643763e-05	6.55766827839765e-06	-7.37697722889343	1.61923688780548e-13	5.18155804097755e-12
YBX3	253.715674058463	-3.60221635814339e-06	7.69597575453926e-07	-4.68064930690397	2.85967755341111e-06	1.14387102136444e-05
SMIM10L1	253.715674058463	7.33763181016443e-05	9.72710961286369e-05	0.75434862998364	0.450639908828673	0.598953586932627
ETV6	253.715674058463	-0.000401795318828334	0.000145735421650153	-2.75701894761639	0.00583309713701468	0.0116661942740294
LRP6	253.715674058463	0.000830812920143471	0.000140160194842257	5.92759535671669	3.07402847277e-09	2.459222778216e-08
MANSC1	253.715674058463	-0.00430985703870147	0.000804255541140254	-5.35881547373743	8.37693593332138e-08	2.68061949866284e-07
BORCS5	253.715674058463	-0.000531216298092344	0.000548440831106372	-0.968593634833351	0.332747980441279	0.560417651269523
DUSP16	253.715674058463	-8.36526217982292e-05	0.000161988771245571	-0.516410002711939	0.60556808104491	0.745314561286043
CREBL2	253.715674058463	-0.00106297526382172	0.000266530328446125	-3.98819627777024	6.65775702220084e-05	0.000355080374517378
CDKN1B	253.715674058463	-0.000117190009338565	6.11069254189403e-05	-1.91778605346493	0.0551381448882787	0.117628042428328
APOLD1	253.715674058463	-7.33987786227072e-05	3.26745574385758e-05	-2.24635876891946	0.0246810370506961	0.0877547984024751
HEBP1	253.715674058463	-0.000612682184587467	0.000233936380269026	-2.61901198899839	0.00881848481772809	0.0217070395513307
FAM234B	253.715674058463	-0.00685997837388257	0.000971886065786982	-7.05841828108495	1.68408486632967e-12	1.79635719075165e-11
EMP1	253.715674058463	-7.83236672564434e-05	4.29501359605949e-05	-1.8235953275748	0.0682132734892172	0.114885513244997
ATF7IP	253.715674058463	-9.24759358225388e-05	7.46100420969145e-05	-1.23945695811855	0.215176319158347	0.391024207261408
PLBD1	253.715674058463	0.000206085001133115	0.000547871190583501	0.376155937153088	0.706800970907876	0.904705242762082
H2AFJ	253.715674058463	-0.000592685679384461	0.000137036849091403	-4.32500953804872	1.525252627708e-05	5.42312045407288e-05
WBP11	253.715674058463	-0.000115100941890528	5.4260152267825e-05	-2.12127937500796	0.0338982989826875	0.120527285271778
MGP	253.715674058463	-0.000148699817093835	3.68476007685942e-05	-4.03553593699849	5.44777999161524e-05	0.00021791119966461
ARHGDIB	253.715674058463	-0.000416583257458105	0.000133012332553387	-3.13191453349563	0.0017367042337473	0.00326909032234785
RERG	253.715674058463	-0.00144592271463408	0.000442825440803649	-3.26522051671193	0.00109378886901029	0.00318193125530265
STRAP	253.715674058463	-6.45225268467257e-05	3.36682116097005e-05	-1.91642275493289	0.0553113067267417	0.147496817937978
DERA	253.715674058463	-0.000856543941054773	0.000257820065116003	-3.32225476969522	0.00089293122876413	0.00408197133149317
MGST1	253.715674058463	-0.00172833080670491	0.000162692754295004	-10.6232807612993	2.32252121106687e-26	3.716033937707e-25
PLEKHA5	253.715674058463	-0.00259747061659291	0.000584385811031967	-4.44478727504701	8.79788761571616e-06	2.34610336419098e-05
AEBP2	253.715674058463	-0.000677531172675743	0.000278724404549413	-2.43082830788012	0.0150643511832436	0.0344328027045568
PDE3A	253.715674058463	-0.000146184612290875	0.000295833326871843	-0.494145179100134	0.621203652817491	0.828271537089988
PYROXD1	253.715674058463	-0.000740005141261823	0.000310096511532683	-2.38637041611424	0.0170156028176553	0.0645001882015668
RECQL	253.715674058463	-0.0011964645124738	0.000318253540145592	-3.75946961006767	0.000170273958555545	0.000908127778962905
GOLT1B	253.715674058463	-0.000668773057700385	0.000188167602971226	-3.55413496872068	0.000379224542891466	0.00110319867022972
SPX	253.715674058463	0.00181289638232857	0.000311424816990215	5.82129709459068	5.83926653932522e-09	4.67141323146017e-08
KCNJ8	253.715674058463	-0.00110832180414956	0.000199991141428866	-5.54185448530865	2.99284970622984e-08	2.39427976498387e-07
ABCC9	253.715674058463	-8.80230481289919e-05	3.38059939703893e-05	-2.60377044988209	0.00922044890088226	0.0420350441775957
CMAS	253.715674058463	-3.53594295861988e-05	0.000118092109916948	-0.299422456005457	0.764617730249008	0.83776384141075
C2CD5	253.715674058463	-0.00102903616707589	0.000162309014828744	-6.33998159721229	2.29792608711208e-10	9.15030727938443e-10
ETNK1	253.715674058463	-0.00185097311189618	0.000246573317829949	-7.5067859255263	6.05966991038929e-14	2.42386796415572e-13
BCAT1	253.715674058463	-0.00047465005380238	0.000609750247630069	-0.778433556439237	0.43631346273786	0.508644080472695
ETFRF1	253.715674058463	0.000361413981305979	0.000154365608749761	2.3412856285357	0.0192174586060771	0.0384349172121542
KRAS	253.715674058463	-0.00121111857829189	0.000203196794829739	-5.96032323889112	2.51739476120858e-09	1.61113264717349e-08
RASSF8.AS1	253.715674058463	0.0013958008191522	0.000438170403912796	3.18552053422117	0.00144493849213765	0.0035567716729542
RASSF8	253.715674058463	0.000234000158400477	0.000108699008511931	2.15273498446669	0.031339512362684	0.236025093133785
BHLHE41	253.715674058463	0.000153478005216557	3.98083101790187e-05	3.85542627974821	0.000115528142002266	0.000547513251296969
SSPN	253.715674058463	0.000194400451173458	4.89892403934146e-05	3.9682275049031	7.2409191252064e-05	0.000193091176672171
ITPR2	253.715674058463	-0.00098198617549954	0.000411504623586481	-2.3863308434812	0.0170174340914328	0.0453798242438207
INTS13	253.715674058463	-0.000430630722695113	0.000166742986888111	-2.58260170776524	0.00980584543516204	0.0224133609946561
FGFR1OP2	253.715674058463	-0.000677956911163978	0.000188766215215568	-3.59151615340574	0.000328759794989804	0.000956392130879429
TM7SF3	253.715674058463	0.000362823582622484	0.000373112309707007	0.9724245841886	0.330839366502901	0.529342986404642
MED21	253.715674058463	-0.000458174076001883	0.000206481151060938	-2.21896320147239	0.0264892281266004	0.105956912506402
RP11.582E3.6	253.715674058463	-0.00352482699202296	0.000740700928983508	-4.75877220359399	1.94774097302967e-06	1.24655422273899e-05
STK38L	253.715674058463	-0.000523253783119131	0.000161508334831958	-3.23979430326956	0.00119615955186358	0.00546815795137636
PPFIBP1	253.715674058463	0.000168713169643009	0.00013974848308311	1.20726297646231	0.227330884124338	0.382873067998885
MRPS35	253.715674058463	3.96661799642081e-05	8.19684058541172e-05	0.483920353834912	0.628442394731252	0.81372876162486
KLHL42	253.715674058463	-0.0029059515153324	0.000505162529036172	-5.75250805097685	8.79290793966545e-09	3.51716317586618e-08
CCDC91	253.715674058463	2.43403841452952e-06	0.000167269704342396	0.0145515795827983	0.988389929052827	0.999999910326627
TMTC1	253.715674058463	-0.000204311389349076	4.62303030555087e-05	-4.41942569798342	9.89635385156276e-06	0.000105561107750003
IPO8	253.715674058463	-0.000497102637268526	9.4390056635141e-05	-5.26647249709835	1.39070070151729e-07	5.56280280606916e-07
CAPRIN2	253.715674058463	-0.00108096330536143	8.60129170329318e-05	-12.5674531529673	3.18830035264068e-36	3.40085370948339e-35
DDX11	253.715674058463	-0.000675588102209319	9.75426586044424e-05	-6.92607841405044	4.32666700929728e-12	1.9779049185359e-11
FAM60A	253.715674058463	-0.00367782158116285	0.00065857263867595	-5.58453443883891	2.34327081904829e-08	6.8167878372314e-08
DENND5B	253.715674058463	0.000150386811445102	0.000159403524629667	0.943434668678041	0.345458617275015	0.555872806567494
AMN1	253.715674058463	-0.00100264351351035	0.000484431897994219	-2.0697305806281	0.0384775813413312	0.111934782083873
KIAA1551	253.715674058463	-0.000763819507030182	0.000285979985742994	-2.67088448531016	0.00756516761738018	0.0151052886227931
BICD1	253.715674058463	0.000528611344482481	0.000225247754817266	2.34679961587773	0.018935435295317	0.0432809949607246
FGD4	253.715674058463	-2.10610484249179e-05	5.09034450005323e-05	-0.413745050550068	0.679060830293603	0.819816949455452
DNM1L	253.715674058463	0.000155821990970687	7.26439950254726e-05	2.14500855736318	0.0319521628004666	0.0852057674679109
YARS2	253.715674058463	0.000439215534618851	0.000460089258799793	0.95463114214969	0.339764262687481	0.494202563909063
PKP2	253.715674058463	-0.000307591742238554	0.000197806674821963	-1.55501194545333	0.119943224399625	0.355727152645666
ALG10B	253.715674058463	-0.00409006028213328	0.000796636420033549	-5.13416180741652	2.83404200887124e-07	1.29556206119828e-06
CPNE8	253.715674058463	-0.00334706214659076	0.000346112388533214	-9.67044884112712	4.02608415515198e-22	1.84049561378376e-21
KIF21A	253.715674058463	-6.750682373775e-05	8.42679749220657e-05	-0.801097021735516	0.423075480257662	0.607277402661248
LRRK2	253.715674058463	-0.000540000785871093	6.84978122465923e-05	-7.88347493387218	3.1840005963869e-15	1.69813365140635e-14
GXYLT1	253.715674058463	-0.00315308252386131	0.000449865058183987	-7.00895183233313	2.40110092176776e-12	1.53670458993136e-11
PPHLN1	253.715674058463	-0.000495207477985817	0.000150088227107168	-3.29944251811452	0.000968770654368158	0.00258338841164842
ZCRB1	253.715674058463	0.000124295180233675	0.000102277505607396	1.21527387176214	0.224261653784587	0.377703837952989
PUS7L	253.715674058463	-0.00199361723990248	0.000508514443552881	-3.9204731845442	8.8375269946564e-05	0.000295549576108718
IRAK4	253.715674058463	-0.00404809171057374	0.000473840189652036	-8.5431582186949	1.30602388482276e-17	1.54459433905905e-16
TWF1	253.715674058463	-0.00377973450633693	0.000602133522094294	-6.2772364727188	3.44643712140173e-10	1.22539986538728e-09
TMEM117	253.715674058463	0.000672845295587314	0.000983151558107985	0.684375964253328	0.493737789621614	0.584699287032383
ANO6	253.715674058463	7.4997029829395e-06	2.33943153030832e-05	0.320578007339718	0.748530206245069	0.855463092851508
RP11.352M15.2	253.715674058463	0.00038981624775342	0.000182830660003692	2.13211639527828	0.0329972791287279	0.058661829562183
ARID2	253.715674058463	-0.00127667591862136	0.000239971828805433	-5.32010746834985	1.03705973494682e-07	8.29647787957453e-07
SCAF11	253.715674058463	-0.000194553194274205	5.77742115603297e-05	-3.36747467459674	0.000758599935511987	0.0020229331613653
SLC38A1	253.715674058463	-2.34149505783051e-05	4.41227076349058e-06	-5.30678007615774	1.11578663896079e-07	7.14103448934905e-07
SLC38A2	253.715674058463	-1.43259133087839e-05	9.29986366194644e-06	-1.5404433687994	0.123452316919838	0.207919691654463
RP11.96H19.1	253.715674058463	0.00141314251835388	0.000307781634911442	4.59138024515493	4.40324270769685e-06	3.52259416615748e-05
SLC38A4	253.715674058463	-8.37059198744336e-05	9.36869576333622e-05	-0.893463956872324	0.37160876565834	0.594574025053344
RPAP3	253.715674058463	9.27939096490614e-05	0.00015802401291952	0.587213980550669	0.557060004032745	0.701779798987958
RAPGEF3	253.715674058463	-0.000710909967241863	8.35834039905279e-05	-8.50539620667311	1.80976467563821e-17	1.93041565401409e-16
SLC48A1	253.715674058463	-0.000308439689093876	0.000104680185020851	-2.94649545214732	0.00321397145200777	0.0169346814215352
HDAC7	253.715674058463	-0.000583252780204775	7.62380607353447e-05	-7.65041469548259	2.00332198461446e-14	9.15804335823752e-14
VDR	253.715674058463	-0.0018360214357783	0.000245187556146301	-7.48823253771803	6.98072677885281e-14	7.44610856410967e-13
