Gene	Cluster_00	Cluster_01	Cluster_02	Cluster_03	Cluster_04	Cluster_05	Cluster_06	Cluster_07	Cluster_08	Cluster_09	Cluster_10	Cluster_11	Cluster_12	Cluster_13	Cluster_14	Cluster_15	Cluster_16	Cluster_17	Cluster_18	Cluster_19	Cluster_20	Cluster_21	Cluster_22	Cluster_23	Cluster_24	Cluster_25	Cluster_26	Cluster_27	Cluster_28	Cluster_29	Cluster_30	Cluster_31	Total_Up_Regulated
GOLIM4	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	15
LIMCH1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	15
INTU	0	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	15
MGST2	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	15
IL15	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	15
HMGB2	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
LRP2BP	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
ZDHHC11B	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	15
LCP2	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
FAM50B	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	15
HLA.DQA1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	15
HLA.DQB1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	15
SLC29A1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	15
AARS2	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	15
PHIP	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	15
TUBE1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
AIG1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	15
ACTB	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
CREB5	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	15
CLCN1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	15
RNF122	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	15
C8orf4	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	15
SOX17	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	15
CA3	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	15
TP53INP1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	15
AC083843.1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	15
TMEM8B	0	0	0	1	1	1	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	15
TLE4	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	15
ST6GALNAC4	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	15
SRGN	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	15
IGF2	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	15
TUB	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	15
ME3	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	15
ESAM	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
SLC2A3	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	15
ETNK1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	15
FBXW8	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	15
IFT88	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	1	15
FREM2	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	15
NAXD	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	15
ANKRD10.IT1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
KLHL33	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	15
TXNDC16	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	15
XRCC3	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
IVD	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	15
DLL4	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	15
DAPK2	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	15
PLEKHO2	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
ANP32A	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
ZNF710	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	15
RP11.958N24.2	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
MYLK3	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	0	0	15
COTL1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
MVD	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	15
SGSM2	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	15
ASPA	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	15
CCDC144A	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	15
ZNF385C	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	15
DCAKD	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
SPATA20	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	15
CTC.264K15.6	1	1	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	15
ICAM2	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	15
H3F3B	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	15
SGSH	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	15
ACTG1	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
EPB41L3	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	15
GAMT	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	15
ZNF441	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	15
DHPS	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	15
SIN3B	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	1	15
HKR1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
SIPA1L3	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	15
NECTIN2	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
MAMSTR	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	15
EMC10	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	15
KMT5C	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
CEBPB.AS1	0	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	15
C20orf166.AS1	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	15
CH507.42P11.8	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	15
MIR99AHG	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	15
RP3.394A18.1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	15
RBFOX2	0	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	15
